# ========
# captured on: Mon Jul 15 18:25:22 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match drawpointsdash --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 302, 303, 304, 305, 306, 307, 308, 309 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 10K of event 'cycles'
# Event count (approx.): 8822239113
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.33%    bench  bench                    [.] GrStencilSettings::isDisabled() const                                                                                                                                                                                                                                                                                                                                                                                
     0.30%    bench  libgallium.so            [.] st_draw_vbo                                                                                                                                                                                                                                                                                                                                                                                                          
     0.29%    bench  bench                    [.] GrInOrderDrawBuffer::needsNewClip() const                                                                                                                                                                                                                                                                                                                                                                            
     0.29%    bench  libdricore.so            [.] vbo_bind_arrays                                                                                                                                                                                                                                                                                                                                                                                                      
     0.29%    bench  bench                    [.] GrDrawState::hasSolidCoverage() const                                                                                                                                                                                                                                                                                                                                                                                
     0.29%    bench  bench                    [.] GrDrawTarget::AutoReleaseGeometry::AutoReleaseGeometry(GrDrawTarget*, int, int)                                                                                                                                                                                                                                                                                                                                      
     0.29%    bench  bench                    [.] GrDrawTarget::setClip(GrClipData const*)                                                                                                                                                                                                                                                                                                                                                                             
     0.29%    bench  bench                    [.] GrInOrderDrawBuffer::flush()                                                                                                                                                                                                                                                                                                                                                                                         
     0.28%    bench  bench                    [.] GrGLProgramDesc::Build(GrDrawState const&, bool, GrDrawState::BlendOptFlags, GrBlendCoeff, GrBlendCoeff, GrGpuGL const*, GrDeviceCoordTexture const*, SkTArray<GrEffectStage const*, true>*, SkTArray<GrEffectStage const*, true>*, GrGLProgramDesc*)                                                                                                                                                                
     0.27%    bench  bench                    [.] SkRect::sort()                                                                                                                                                                                                                                                                                                                                                                                                       
     0.24%    bench  bench                    [.] GrDrawState::AutoViewMatrixRestore::restore()                                                                                                                                                                                                                                                                                                                                                                        
     0.24%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_bo_emit_buffer                                                                                                                                                                                                                                                                                                                                                                                               
     0.23%    bench  nouveau_dri.so           [.] nouveau_fence_update                                                                                                                                                                                                                                                                                                                                                                                                 
     0.22%    bench  libpthread-2.15.so       [.] pthread_mutex_unlock                                                                                                                                                                                                                                                                                                                                                                                                 
     0.22%    bench  bench                    [.] SkXfermode::AsNewEffectOrCoeff(SkXfermode*, GrContext*, GrEffectRef**, SkXfermode::Coeff*, SkXfermode::Coeff*, GrTexture*)                                                                                                                                                                                                                                                                                           
     0.22%    bench  ld-2.15.so               [.] 0x00000000000188d6                                                                                                                                                                                                                                                                                                                                                                                                   
     0.20%    bench  libc-2.15.so             [.] __sched_yield                                                                                                                                                                                                                                                                                                                                                                                                        
     0.20%    bench  bench                    [.] GrIndexBufferAllocPool::currentBufferIndices() const                                                                                                                                                                                                                                                                                                                                                                 
     0.20%    bench  bench                    [.] GrAAConvexPathRenderer::onDrawPath(SkPath const&, SkStrokeRec const&, GrDrawTarget*, bool)                                                                                                                                                                                                                                                                                                                           
     0.20%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_flush                                                                                                                                                                                                                                                                                                                                                                                                
     0.18%    bench  bench                    [.] memcmp@plt                                                                                                                                                                                                                                                                                                                                                                                                           
     0.18%    bench  bench                    [.] SkClipStack::isWideOpen() const                                                                                                                                                                                                                                                                                                                                                                                      
     0.17%    bench  bench                    [.] GrInOrderDrawBuffer::clipWillBeSet(GrClipData const*)                                                                                                                                                                                                                                                                                                                                                                
     0.16%    bench  nouveau_dri.so           [.] nv50_draw_vbo                                                                                                                                                                                                                                                                                                                                                                                                        
     0.16%    bench  bench                    [.] GrGpuGL::flushGraphicsState(GrGpu::DrawType, GrDeviceCoordTexture const*)                                                                                                                                                                                                                                                                                                                                            
     0.15%    bench  nouveau_dri.so           [.] nouveau_fence_wait                                                                                                                                                                                                                                                                                                                                                                                                   
     0.15%    bench  libc-2.15.so             [.] __libc_calloc                                                                                                                                                                                                                                                                                                                                                                                                        
     0.14%    bench  bench                    [.] GrGpuGL::HWGeometryState::bindArrayAndBuffersToDraw(GrGpuGL*, GrGLVertexBuffer const*, GrGLIndexBuffer const*)                                                                                                                                                                                                                                                                                                       
     0.14%    bench  libGL.so.1.2             [.] glDrawElements                                                                                                                                                                                                                                                                                                                                                                                                       
     0.14%    bench  nouveau_dri.so           [.] nv50_bufctx_emit_relocs                                                                                                                                                                                                                                                                                                                                                                                              
     0.14%    bench  bench                    [.] SkMatrix::reset()                                                                                                                                                                                                                                                                                                                                                                                                    
     0.14%    bench  bench                    [.] GrDrawState::willEffectReadDstColor() const                                                                                                                                                                                                                                                                                                                                                                          
     0.13%    bench  libpthread-2.15.so       [.] pthread_mutex_lock                                                                                                                                                                                                                                                                                                                                                                                                   
