# ========
# captured on: Mon Jul 15 18:44:29 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match bitmap_8888_A_scale --config 565 --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 382, 383, 384, 385, 386, 387, 388, 389 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5235152625
#
# Overhead  Command           Shared Object                                                                                                                                                                                                   Symbol
# ........  .......  ......................  .......................................................................................................................................................................................................
#
     0.02%    bench  bench                   [.] _ZNK8SkCanvas13getClipBoundsEP6SkRect.constprop.77                                                                                                                                                 
     0.02%    bench  bench                   [.] SkBitmap::hasMipMap() const                                                                                                                                                                        
     0.02%    bench  nouveau_dri.so          [.] 0x000000000003d371                                                                                                                                                                                 
     0.02%    bench  bench                   [.] SkRect::setBoundsCheck(SkPoint const*, int)                                                                                                                                                        
     0.02%    bench  bench                   [.] _ZNK8SkCanvas11quickRejectERK6SkRect.part.51                                                                                                                                                       
     0.02%    bench  bench                   [.] SkCanvas::updateDeviceCMCache()                                                                                                                                                                    
     0.02%    bench  bench                   [.] SkPath::lineTo(float, float)                                                                                                                                                                       
     0.02%    bench  bench                   [.] SkShader::setContext(SkBitmap const&, SkPaint const&, SkMatrix const&)                                                                                                                             
     0.02%    bench  bench                   [.] SkCanvas::canvasForDrawIter()                                                                                                                                                                      
     0.02%    bench  bench                   [.] do_scanline(int, int, int, unsigned int, SkBlitter*)                                                                                                                                               
     0.02%    bench  bench                   [.] SkPaint::~SkPaint()                                                                                                                                                                                
     0.02%    bench  bench                   [.] SkDraw::drawPath(SkPath const&, SkPaint const&, SkMatrix const*, bool) const                                                                                                                       
     0.02%    bench  bench                   [.] SkEdgeBuilder::SkEdgeBuilder()                                                                                                                                                                     
     0.02%    bench  bench                   [.] SkBitmapProcState::chooseMatrixProc(bool)                                                                                                                                                          
     0.02%    bench  libLLVM-3.0.so.1        [.] llvm::PMDataManager::removeNotPreservedAnalysis(llvm::Pass*)                                                                                                                                       
     0.02%    bench  bench                   [.] SkARGB32_Blitter::blitAntiH(int, int, unsigned char const*, short const*)                                                                                                                          
     0.01%    bench  bench                   [.] F_1090(void*)                                                                                                                                                                                      
     0.01%    bench  bench                   [.] operate_on_span(int const*, int const*, int*, int, int)                                                                                                                                            
     0.01%    bench  bench                   [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessY>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessY)                                                                                
     0.01%    bench  bench                   [.] SkRTree::insert(void*, SkIRect const&, bool)                                                                                                                                                       
     0.01%    bench  libLLVM-3.0.so.1        [.] llvm::Pass* llvm::callDefaultCtor<llvm::MachineLoopInfo>()                                                                                                                                         
     0.01%    bench  libLLVM-3.0.so.1        [.] llvm::DenseMap<unsigned int, std::pair<unsigned int, unsigned int>, llvm::DenseMapInfo<unsigned int>, llvm::DenseMapInfo<std::pair<unsigned int, unsigned int> > >::operator[](unsigned int const&)
