# ========
# captured on: Mon Jul 15 18:30:14 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match blurrect_boxfilter --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 326, 327, 328, 329, 330, 331, 332, 333 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 9506848451
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%    bench  libLLVM-3.0.so.1         [.] llvm::PassRegistry::getPassInfo(void const*) const                                                                                                                                                                                                                                                                                                                                                                   
     0.01%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessY>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessY)                                                                                                                                                                                                                                                                                                  
     0.01%    bench  bench                    [.] Fact3(void*)                                                                                                                                                                                                                                                                                                                                                                                                         
     0.01%    bench  libLLVM-3.0.so.1         [.] llvm::X86InstrInfo::AddTableEntry(llvm::DenseMap<unsigned int, std::pair<unsigned int, unsigned int>, llvm::DenseMapInfo<unsigned int>, llvm::DenseMapInfo<std::pair<unsigned int, unsigned int> > >&, llvm::DenseMap<unsigned int, std::pair<unsigned int, unsigned int>, llvm::DenseMapInfo<unsigned int>, llvm::DenseMapInfo<std::pair<unsigned int, unsigned int> > >&, unsigned int, unsigned int, unsigned int)
     0.01%    bench  libLLVM-3.0.so.1         [.] llvm::PMTopLevelManager::setLastUser(llvm::SmallVectorImpl<llvm::Pass*> const&, llvm::Pass*)                                                                                                                                                                                                                                                                                                                         
     0.01%    bench  libLLVM-3.0.so.1         [.] llvm::PMTopLevelManager::schedulePass(llvm::Pass*)                                                                                                                                                                                                                                                                                                                                                                   
     0.01%    bench  libX11.so.6.3.0          [.] _XReply                                                                                                                                                                                                                                                                                                                                                                                                              
     0.01%    bench  libc-2.15.so             [.] _IO_vfscanf                                                                                                                                                                                                                                                                                                                                                                                                          
     0.01%    bench  libX11.so.6.3.0          [.] XGetVisualInfo                                                                                                                                                                                                                                                                                                                                                                                                       
     0.01%    bench  libglsl.so               [.] visit_list_elements(ir_hierarchical_visitor*, exec_list*, bool)                                                                                                                                                                                                                                                                                                                                                      
