# ========
# captured on: Mon Jul 15 17:21:42 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match draw_stroke_rect_bevel --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 38, 39, 40, 41, 42, 43, 44, 45 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 2248253380
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
     0.12%    bench  bench                    [.] GrResourceCache::find(GrResourceKey const&, unsigned int)                                                                                                                                                                                            
     0.12%    bench  bench                    [.] SkMatrix::preConcat(SkMatrix const&)                                                                                                                                                                                                                 
     0.12%    bench  bench                    [.] GrBufferAllocPool::putBack(unsigned long)                                                                                                                                                                                                            
     0.12%    bench  bench                    [.] SkPath::transform(SkMatrix const&, SkPath*) const                                                                                                                                                                                                    
     0.12%    bench  bench                    [.] SkPaint::nothingToDraw() const                                                                                                                                                                                                                       
     0.12%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_emit_reloc                                                                                                                                                                                                                           
     0.12%    bench  bench                    [.] SkA8_Blitter::SkA8_Blitter(SkBitmap const&, SkPaint const&)                                                                                                                                                                                          
     0.12%    bench  libc-2.15.so             [.] malloc                                                                                                                                                                                                                                               
     0.11%    bench  libdricore.so            [.] _mesa_ActiveTextureARB                                                                                                                                                                                                                               
     0.11%    bench  bench                    [.] _ZNK8SkCanvas11quickRejectERK6SkRect.part.51                                                                                                                                                                                                         
     0.11%    bench  bench                    [.] GrSWMaskHelper::DrawPathMaskToTexture(GrContext*, SkPath const&, SkStrokeRec const&, SkIRect const&, bool, SkMatrix*)                                                                                                                                
     0.11%    bench  nouveau_dri.so           [.] nv50_state_validate                                                                                                                                                                                                                                  
     0.11%    bench  bench                    [.] SkScanClipper::SkScanClipper(SkBlitter*, SkRegion const*, SkIRect const&, bool)                                                                                                                                                                      
     0.11%    bench  bench                    [.] GrInOrderDrawBuffer::geometrySourceWillPush()                                                                                                                                                                                                        
     0.11%    bench  bench                    [.] GrGpuGL::setupGeometry(GrDrawTarget::DrawInfo const&, unsigned long*)                                                                                                                                                                                
     0.11%    bench  bench                    [.] GrAAHairLinePathRenderer::canDrawPath(SkPath const&, SkStrokeRec const&, GrDrawTarget const*, bool) const                                                                                                                                            
     0.11%    bench  bench                    [.] SkPath::Iter::doNext(SkPoint*)                                                                                                                                                                                                                       
     0.11%    bench  bench                    [.] SkDraw::drawPath(SkPath const&, SkPaint const&, SkMatrix const*, bool) const                                                                                                                                                                         
     0.11%    bench  libdrm.so.2.4.0          [.] drmIoctl                                                                                                                                                                                                                                             
     0.11%    bench  bench                    [.] SkRTree::distributeChildren(SkRTree::Branch*)                                                                                                                                                                                                        
     0.11%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessThan>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessThan)                                                                                                                            
     0.10%    bench  libdricore.so            [.] _mesa_symbol_table_add_symbol                                                                                                                                                                                                                        
     0.09%    bench  libexpat.so.1.5.2        [.] 0x000000000000f510                                                                                                                                                                                                                                   
     0.08%    bench  bench                    [.] GrGpuGL::onWriteTexturePixels(GrTexture*, int, int, int, int, GrPixelConfig, void const*, unsigned long)                                                                                                                                             
     0.08%    bench  bench                    [.] GrDrawTarget::setIndexSourceToBuffer(GrIndexBuffer const*)                                                                                                                                                                                           
     0.08%    bench  nouveau_dri.so           [.] u_resource_destroy_vtbl                                                                                                                                                                                                                              
     0.08%    bench  bench                    [.] _ZN9GrContext15getPathRendererERK6SkPathRK11SkStrokeRecPK12GrDrawTargetbN19GrPathRendererChain8DrawTypeEPNS9_14StencilSupportE.constprop.91                                                                                                          
     0.08%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_bo_map                                                                                                                                                                                                                                       
     0.08%    bench  bench                    [.] GrPathRendererChain::getPathRenderer(SkPath const&, SkStrokeRec const&, GrDrawTarget const*, GrPathRendererChain::DrawType, GrPathRendererChain::StencilSupport*)                                                                                    
     0.08%    bench  bench                    [.] SkMatrix::Trans_pts(SkMatrix const&, SkPoint*, SkPoint const*, int)                                                                                                                                                                                  
     0.08%    bench  bench                    [.] SkMatrix::setIDiv(int, int)                                                                                                                                                                                                                          
     0.08%    bench  bench                    [.] GrMemoryPool::allocate(unsigned long)                                                                                                                                                                                                                
     0.08%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_bo_new_tile                                                                                                                                                                                                                                  
     0.08%    bench  bench                    [.] GrBufferAllocPool::reset()                                                                                                                                                                                                                           
     0.08%    bench  libdrm.so.2.4.0          [.] drmCommandWrite                                                                                                                                                                                                                                      
     0.08%    bench  bench                    [.] SkChunkAlloc::alloc(unsigned long, SkChunkAlloc::AllocFailType)                                                                                                                                                                                      
     0.08%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_marker_emit                                                                                                                                                                                                                          
     0.08%    bench  bench                    [.] GrBufferAllocPool::createBlock(unsigned long)                                                                                                                                                                                                        
     0.08%    bench  bench                    [.] SkStrokeRec::getStyle() const                                                                                                                                                                                                                        
     0.08%    bench  nouveau_dri.so           [.] nv50_vertex_arrays_validate                                                                                                                                                                                                                          
     0.08%    bench  bench                    [.] GrGpuGL::onGpuDraw(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                                    
     0.08%    bench  bench                    [.] GrGpu::onDraw(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                                         
     0.08%    bench  libstdc++.so.6.0.16      [.] operator new(unsigned long)                                                                                                                                                                                                                          
     0.08%    bench  bench                    [.] sort_edges(SkEdge**, int, SkEdge**)                                                                                                                                                                                                                  
     0.08%    bench  bench                    [.] SkPath::isRectContour(bool, int*, SkPoint const**, bool*, SkPath::Direction*) const                                                                                                                                                                  
     0.08%    bench  bench                    [.] SkPath::SkPath()                                                                                                                                                                                                                                     
     0.08%    bench  bench                    [.] SkPath::lineTo(float, float)                                                                                                                                                                                                                         
     0.08%    bench  libgallium.so            [.] st_finalize_texture                                                                                                                                                                                                                                  
     0.08%    bench  libpthread-2.15.so       [.] pthread_getspecific                                                                                                                                                                                                                                  
     0.08%    bench  bench                    [.] SkBitmap::SkBitmap()                                                                                                                                                                                                                                 
     0.08%    bench  libgallium.so            [.] cso_construct_key                                                                                                                                                                                                                                    
     0.08%    bench  libglapi.so.0.0.0        [.] 0x000000000000c827                                                                                                                                                                                                                                   
     0.08%    bench  libdricore.so            [.] _mesa_image_offset                                                                                                                                                                                                                                   
     0.08%    bench  bench                    [.] GrDrawTarget::pushGeometrySource()                                                                                                                                                                                                                   
     0.08%    bench  libgallium.so            [.] st_flush_bitmap_cache                                                                                                                                                                                                                                
     0.08%    bench  bench                    [.] SkTLS::PlatformGetSpecific(bool)                                                                                                                                                                                                                     
     0.08%    bench  bench                    [.] GrGLVertexBuffer::updateData(void const*, unsigned long)                                                                                                                                                                                             
     0.08%    bench  bench                    [.] GrDrawState::AutoRestoreEffects::set(GrDrawState*)                                                                                                                                                                                                   
     0.08%    bench  bench                    [.] GrDrawTarget::releasePreviousVertexSource()                                                                                                                                                                                                          
     0.08%    bench  bench                    [.] glDrawElements@plt                                                                                                                                                                                                                                   
     0.08%    bench  bench                    [.] SkXfermode::AsMode(SkXfermode const*, SkXfermode::Mode*)                                                                                                                                                                                             
     0.08%    bench  bench                    [.] SkPath::moveTo(float, float)                                                                                                                                                                                                                         
     0.08%    bench  nouveau_dri.so           [.] nv50_miptree_transfer_new                                                                                                                                                                                                                            
     0.08%    bench  bench                    [.] GrGLAttribArrayState::disableUnusedAttribArrays(GrGpuGL const*, unsigned long)                                                                                                                                                                       
     0.08%    bench  libgallium.so            [.] util_format_description                                                                                                                                                                                                                              
     0.08%    bench  bench                    [.] (anonymous namespace)::adjust_pixel_ops_params(int, int, unsigned long, int*, int*, int*, int*, void const**, unsigned long*)                                                                                                                        
     0.08%    bench  libdricore.so            [.] _mesa_update_tnl_spaces                                                                                                                                                                                                                              
     0.08%    bench  bench                    [.] GrTexture::internal_dispose() const                                                                                                                                                                                                                  
     0.08%    bench  bench                    [.] SkRefCnt::internal_dispose() const                                                                                                                                                                                                                   
     0.08%    bench  libdricore.so            [.] _mesa_BindBufferARB                                                                                                                                                                                                                                  
     0.08%    bench  bench                    [.] GrBufferAllocPool::unlock()                                                                                                                                                                                                                          
     0.08%    bench  bench                    [.] SkStroke::strokeRect(SkRect const&, SkPath*, SkPath::Direction) const                                                                                                                                                                                
     0.08%    bench  bench                    [.] _ZNK8SkMatrix15computeTypeMaskEv.part.13                                                                                                                                                                                                             
     0.08%    bench  bench                    [.] SkScan::AntiFillPath(SkPath const&, SkRasterClip const&, SkBlitter*)                                                                                                                                                                                 
     0.08%    bench  libGL.so.1.2             [.] glActiveTextureARB                                                                                                                                                                                                                                   
     0.07%    bench  bench                    [.] GrGLEffectMatrix::GenKey(SkMatrix const&, GrDrawEffect const&, GrEffect::CoordsType, GrTexture const*)                                                                                                                                               
     0.07%    bench  bench                    [.] SkPath::~SkPath()                                                                                                                                                                                                                                    
     0.07%    bench  bench                    [.] SkBitmap::HeapAllocator::allocPixelRef(SkBitmap*, SkColorTable*)                                                                                                                                                                                     
     0.07%    bench  libgallium.so            [.] cso_single_vertex_sampler                                                                                                                                                                                                                            
     0.07%    bench  bench                    [.] GrDrawState::~GrDrawState()                                                                                                                                                                                                                          
     0.07%    bench  nouveau_dri.so           [.] util_format_description                                                                                                                                                                                                                              
     0.07%    bench  bench                    [.] GrGpuGL::bindTexture(int, GrTextureParams const&, GrGLTexture*)                                                                                                                                                                                      
     0.07%    bench  bench                    [.] SkRTree::insert(void*, SkIRect const&, bool)                                                                                                                                                                                                         
     0.07%    bench  bench                    [.] SkRTree::insert(SkRTree::Node*, SkRTree::Branch*, unsigned short)                                                                                                                                                                                    
     0.06%    bench  libdricore.so            [.] hash_table_find                                                                                                                                                                                                                                      
     0.05%    bench  libglsl.so               [.] ir_reader::read_instruction(s_expression*, ir_loop*)                                                                                                                                                                                                 
     0.04%    bench  nouveau_dri.so           [.] driIndexConfigAttrib                                                                                                                                                                                                                                 
     0.04%    bench  bench                    [.] SkPaint::setStyle(SkPaint::Style)                                                                                                                                                                                                                    
     0.04%    bench  libdricore.so            [.] _mesa_lock_context_textures                                                                                                                                                                                                                          
