# ========
# captured on: Mon Jul 15 17:24:08 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match draw_stroke_rect_round --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 46, 47, 48, 49, 50, 51, 52, 53 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 2286630672
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
     0.15%    bench  bench                    [.] GrDrawState::~GrDrawState()                                                                                                                                                                                                                          
     0.15%    bench  bench                    [.] draw_rect(RRectRec const*, int)                                                                                                                                                                                                                      
     0.15%    bench  bench                    [.] SkStrokeRec::applyToPath(SkPath*, SkPath const&) const                                                                                                                                                                                               
     0.15%    bench  libc-2.15.so             [.] ioctl                                                                                                                                                                                                                                                
     0.15%    bench  bench                    [.] GrInOrderDrawBuffer::flush()                                                                                                                                                                                                                         
     0.15%    bench  libglsl.so               [.] 0x0000000000081df5                                                                                                                                                                                                                                   
     0.14%    bench  libc-2.15.so             [.] munmap                                                                                                                                                                                                                                               
     0.13%    bench  bench                    [.] _ZN9GrContext13prepareToDrawEPK7GrPaintNS_12BufferedDrawEPNS_18AutoRestoreEffectsE.constprop.82                                                                                                                                                      
     0.12%    bench  bench                    [.] GrEffectRef::~GrEffectRef()                                                                                                                                                                                                                          
     0.12%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_bo_emit_buffer                                                                                                                                                                                                                               
     0.12%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_emit_reloc                                                                                                                                                                                                                           
     0.12%    bench  bench                    [.] SkPath::Iter::consumeDegenerateSegments()                                                                                                                                                                                                            
     0.12%    bench  nouveau_dri.so           [.] nv50_vertex_arrays_validate                                                                                                                                                                                                                          
     0.12%    bench  bench                    [.] _ZNK8SkCanvas11quickRejectERK6SkRect.part.51                                                                                                                                                                                                         
     0.12%    bench  bench                    [.] GrGLAttribArrayState::set(GrGpuGL const*, int, GrGLVertexBuffer*, int, unsigned int, unsigned char, int, void*)                                                                                                                                      
     0.12%    bench  bench                    [.] SkBitmap::ComputeRowBytes(SkBitmap::Config, int)                                                                                                                                                                                                     
     0.12%    bench  bench                    [.] GrMemoryPool::allocate(unsigned long)                                                                                                                                                                                                                
     0.12%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_flush                                                                                                                                                                                                                                
     0.12%    bench  bench                    [.] GrInOrderDrawBuffer::recordState()                                                                                                                                                                                                                   
     0.12%    bench  bench                    [.] GrGpuGL::setupGeometry(GrDrawTarget::DrawInfo const&, unsigned long*)                                                                                                                                                                                
     0.12%    bench  bench                    [.] GrDrawState::operator=(GrDrawState const&)                                                                                                                                                                                                           
     0.12%    bench  bench                    [.] _ZN7GrGpuGL13uploadTexDataERKN11GrGLTexture4DescEbiiii13GrPixelConfigPKvm.constprop.101                                                                                                                                                              
     0.12%    bench  libdricore.so            [.] vbo_bind_arrays                                                                                                                                                                                                                                      
     0.12%    bench  libdricore.so            [.] _mesa_BindTexture                                                                                                                                                                                                                                    
     0.12%    bench  libdricore.so            [.] _mesa_error_check_format_and_type                                                                                                                                                                                                                    
     0.12%    bench  bench                    [.] GrDrawState::AutoRestoreEffects::set(GrDrawState*)                                                                                                                                                                                                   
     0.11%    bench  bench                    [.] GrContext::writeTexturePixels(GrTexture*, int, int, int, int, GrPixelConfig, void const*, unsigned long, unsigned int)                                                                                                                               
     0.11%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_marker_emit                                                                                                                                                                                                                          
     0.11%    bench  bench                    [.] SkMallocPixelRef::~SkMallocPixelRef()                                                                                                                                                                                                                
     0.11%    bench  bench                    [.] SkRTree::distributeChildren(SkRTree::Branch*)                                                                                                                                                                                                        
     0.11%    bench  nouveau_dri.so           [.] nv50_bufctx_emit_relocs                                                                                                                                                                                                                              
     0.11%    bench  libGL.so.1.2             [.] glActiveTextureARB                                                                                                                                                                                                                                   
     0.11%    bench  libdricore.so            [.] _mesa_reference_shader_program                                                                                                                                                                                                                       
     0.11%    bench  bench                    [.] GrGpu::clear(SkIRect const*, unsigned int, GrRenderTarget*)                                                                                                                                                                                          
     0.11%    bench  bench                    [.] GrGpuGL::flushStencil(GrGpu::DrawType)                                                                                                                                                                                                               
     0.11%    bench  bench                    [.] GrInOrderDrawBuffer::clipWillBeSet(GrClipData const*)                                                                                                                                                                                                
     0.11%    bench  libdricore.so            [.] _mesa_BufferSubDataARB                                                                                                                                                                                                                               
     0.11%    bench  bench                    [.] SkBlitter::Choose(SkBitmap const&, SkMatrix const&, SkPaint const&, void*, unsigned long)                                                                                                                                                            
     0.11%    bench  bench                    [.] SkBitmap::HeapAllocator::allocPixelRef(SkBitmap*, SkColorTable*)                                                                                                                                                                                     
     0.11%    bench  bench                    [.] _ZN15GrResourceCache13purgeAsNeededEv.part.22                                                                                                                                                                                                        
     0.08%    bench  bench                    [.] SkXfermode::Create(SkXfermode::Mode)                                                                                                                                                                                                                 
     0.08%    bench  bench                    [.] _ZN6SkPath4Iter6doNextEP7SkPoint.constprop.70                                                                                                                                                                                                        
     0.08%    bench  nouveau_dri.so           [.] nouveau_fence_work                                                                                                                                                                                                                                   
     0.08%    bench  bench                    [.] GrDrawState::srcAlphaWillBeOne() const                                                                                                                                                                                                               
     0.08%    bench  bench                    [.] SkBlitter::~SkBlitter()                                                                                                                                                                                                                              
     0.08%    bench  bench                    [.] SkMatrix::Trans_pts(SkMatrix const&, SkPoint*, SkPoint const*, int)                                                                                                                                                                                  
     0.08%    bench  bench                    [.] GrResourceCache::find(GrResourceKey const&, unsigned int)                                                                                                                                                                                            
     0.08%    bench  bench                    [.] SkChopCubicAt(SkPoint const*, SkPoint*, float const*, int)                                                                                                                                                                                           
     0.08%    bench  bench                    [.] GrResourceCache::purgeAsNeeded()                                                                                                                                                                                                                     
     0.08%    bench  bench                    [.] GrSWMaskHelper::DrawPathMaskToTexture(GrContext*, SkPath const&, SkStrokeRec const&, SkIRect const&, bool, SkMatrix*)                                                                                                                                
     0.08%    bench  bench                    [.] SkScan::AntiFillPath(SkPath const&, SkRegion const&, SkBlitter*, bool)                                                                                                                                                                               
     0.08%    bench  bench                    [.] GrAAConvexPathRenderer::canDrawPath(SkPath const&, SkStrokeRec const&, GrDrawTarget const*, bool) const                                                                                                                                              
     0.08%    bench  bench                    [.] SkChunkAlloc::alloc(unsigned long, SkChunkAlloc::AllocFailType)                                                                                                                                                                                      
     0.08%    bench  libc-2.15.so             [.] realloc                                                                                                                                                                                                                                              
     0.08%    bench  bench                    [.] GrSingleTextureEffect::~GrSingleTextureEffect()                                                                                                                                                                                                      
     0.08%    bench  nouveau_dri.so           [.] u_resource_destroy_vtbl                                                                                                                                                                                                                              
     0.08%    bench  bench                    [.] GrClipMaskManager::setGpuStencil()                                                                                                                                                                                                                   
     0.08%    bench  bench                    [.] GrGLShaderBuilder::KeyForTextureAccess(GrTextureAccess const&, GrGLCaps const&)                                                                                                                                                                      
     0.08%    bench  bench                    [.] GrDrawState::setVertexAttribs(GrVertexAttrib const*, int)                                                                                                                                                                                            
     0.08%    bench  bench                    [.] GrBufferAllocPool::unlock()                                                                                                                                                                                                                          
     0.08%    bench  libdricore.so            [.] _mesa_PixelStorei                                                                                                                                                                                                                                    
     0.08%    bench  bench                    [.] GrGLBufferImpl::updateData(GrGpuGL*, void const*, unsigned long)                                                                                                                                                                                     
     0.08%    bench  nouveau_dri.so           [.] nv50_draw_vbo                                                                                                                                                                                                                                        
     0.08%    bench  bench                    [.] SkAAClip::setEmpty()                                                                                                                                                                                                                                 
     0.08%    bench  bench                    [.] SkPath::Iter::Iter(SkPath const&, bool)                                                                                                                                                                                                              
     0.08%    bench  bench                    [.] GrGLProgram::setEffectData(GrGpuGL*, GrEffectStage const&, GrGLProgram::EffectAndSamplers const&)                                                                                                                                                    
     0.08%    bench  bench                    [.] SkChopCubicAtYExtrema(SkPoint const*, SkPoint*)                                                                                                                                                                                                      
     0.08%    bench  bench                    [.] Sk64::setMul(int, int)                                                                                                                                                                                                                               
     0.08%    bench  bench                    [.] SkMatrix::I()                                                                                                                                                                                                                                        
     0.08%    bench  bench                    [.] GrGpuGL::flushAAState(GrGpu::DrawType)                                                                                                                                                                                                               
     0.08%    bench  bench                    [.] GrInOrderDrawBuffer::geometrySourceWillPush()                                                                                                                                                                                                        
     0.08%    bench  bench                    [.] GrDrawState::willEffectReadDstColor() const                                                                                                                                                                                                          
     0.08%    bench  bench                    [.] GrBufferAllocPool::createBlock(unsigned long)                                                                                                                                                                                                        
     0.08%    bench  bench                    [.] SkPaint::SkPaint(SkPaint const&)                                                                                                                                                                                                                     
     0.08%    bench  nouveau_dri.so           [.] u_transfer_unmap_vtbl                                                                                                                                                                                                                                
     0.08%    bench  bench                    [.] SkBitmap::SkBitmap()                                                                                                                                                                                                                                 
     0.08%    bench  libgallium.so            [.] cso_find_state                                                                                                                                                                                                                                       
     0.08%    bench  bench                    [.] SkGpuDevice::drawPath(SkDraw const&, SkPath const&, SkPaint const&, SkMatrix const*, bool)                                                                                                                                                           
     0.08%    bench  bench                    [.] SkRTree::insert(void*, SkIRect const&, bool)                                                                                                                                                                                                         
     0.08%    bench  bench                    [.] GrGpuGL::bindTexture(int, GrTextureParams const&, GrGLTexture*)                                                                                                                                                                                      
     0.08%    bench  nouveau_dri.so           [.] nouveau_mm_allocate                                                                                                                                                                                                                                  
     0.08%    bench  bench                    [.] GrGpu::onDraw(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                                         
     0.08%    bench  bench                    [.] SkGpuDevice::prepareDraw(SkDraw const&, bool)                                                                                                                                                                                                        
     0.08%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_bo_ref                                                                                                                                                                                                                                       
     0.08%    bench  libgallium.so            [.] st_manager_validate_framebuffers                                                                                                                                                                                                                     
     0.08%    bench  bench                    [.] SkMatrix::mapVectors(SkPoint*, SkPoint const*, int) const                                                                                                                                                                                            
     0.08%    bench  bench                    [.] GrGpuGL::HWGeometryState::bindArrayAndBuffersToDraw(GrGpuGL*, GrGLVertexBuffer const*, GrGLIndexBuffer const*)                                                                                                                                       
     0.08%    bench  libgallium.so            [.] vbo_sizeof_ib_type@plt                                                                                                                                                                                                                               
     0.08%    bench  bench                    [.] GrDrawTarget::drawIndexedInstances(GrPrimitiveType, int, int, int, SkRect const*)                                                                                                                                                                    
     0.08%    bench  bench                    [.] GrPathRendererChain::getPathRenderer(SkPath const&, SkStrokeRec const&, GrDrawTarget const*, GrPathRendererChain::DrawType, GrPathRendererChain::StencilSupport*)                                                                                    
     0.08%    bench  libgallium.so            [.] cso_set_vertex_buffers                                                                                                                                                                                                                               
     0.08%    bench  bench                    [.] SkPreMultiplyColor(unsigned int)                                                                                                                                                                                                                     
     0.08%    bench  bench                    [.] GrTexture::asRenderTarget()                                                                                                                                                                                                                          
     0.08%    bench  bench                    [.] sort_edges(SkEdge**, int, SkEdge**)                                                                                                                                                                                                                  
     0.08%    bench  bench                    [.] GrGpu::writeTexturePixels(GrTexture*, int, int, int, int, GrPixelConfig, void const*, unsigned long)                                                                                                                                                 
     0.08%    bench  bench                    [.] GrInOrderDrawBuffer::recordDraw(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                       
     0.08%    bench  bench                    [.] SkPath::moveTo(float, float)                                                                                                                                                                                                                         
     0.08%    bench  bench                    [.] _ZNK12GrTHashTableI15GrResourceEntry13GrResourceKeyLm8EE4findI21GrTDefaultFindFunctorIS0_EEEPS0_RKS1_RKT_.constprop.24                                                                                                                               
     0.08%    bench  libdricore.so            [.] _mesa_lookup_texture                                                                                                                                                                                                                                 
     0.08%    bench  nouveau_dri.so           [.] u_get_transfer_vtbl                                                                                                                                                                                                                                  
     0.08%    bench  bench                    [.] GrTexture::sizeInBytes() const                                                                                                                                                                                                                       
     0.08%    bench  bench                    [.] SkGpuDevice::drawRect(SkDraw const&, SkRect const&, SkPaint const&)                                                                                                                                                                                  
     0.08%    bench  bench                    [.] SkPath::~SkPath()                                                                                                                                                                                                                                    
     0.08%    bench  libgallium.so            [.] st_texture_image_map                                                                                                                                                                                                                                 
     0.07%    bench  bench                    [.] _ZN9GrContext15getPathRendererERK6SkPathRK11SkStrokeRecPK12GrDrawTargetbN19GrPathRendererChain8DrawTypeEPNS9_14StencilSupportE.constprop.91                                                                                                          
     0.07%    bench  bench                    [.] GrTBackendEffectFactory<GrSimpleTextureEffect>::glEffectKey(GrDrawEffect const&, GrGLCaps const&) const                                                                                                                                              
     0.07%    bench  bench                    [.] GrBufferAllocPool::destroyBlock()                                                                                                                                                                                                                    
     0.07%    bench  bench                    [.] GrGLEffectMatrix::setData(GrGLUniformManager const&, SkMatrix const&, GrDrawEffect const&, GrTexture const*)                                                                                                                                         
     0.07%    bench  bench                    [.] GrTAllocator<GrDrawState::DeferredState>::reset()                                                                                                                                                                                                    
     0.07%    bench  bench                    [.] SkPoint::setRectFan(float, float, float, float, unsigned long)                                                                                                                                                                                       
     0.07%    bench  bench                    [.] GrDrawTarget::releasePreviousIndexSource()                                                                                                                                                                                                           
     0.07%    bench  bench                    [.] SkPixelRef::unlockPixels()                                                                                                                                                                                                                           
     0.07%    bench  nouveau_dri.so           [.] nv50_miptree_transfer_new                                                                                                                                                                                                                            
     0.07%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_submit                                                                                                                                                                                                                               
     0.07%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_bo_unmap                                                                                                                                                                                                                                     
     0.07%    bench  bench                    [.] GrDrawState::AutoViewMatrixRestore::setIdentity(GrDrawState*)                                                                                                                                                                                        
     0.07%    bench  libGL.so.1.2             [.] glXGetFBConfigAttribSGIX                                                                                                                                                                                                                             
     0.06%    bench  nouveau_dri.so           [.] driIndexConfigAttrib                                                                                                                                                                                                                                 
     0.04%    bench  bench                    [.] GrDrawState::AutoViewMatrixRestore::restore()                                                                                                                                                                                                        
     0.04%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_bo_new_tile                                                                                                                                                                                                                                  
     0.04%    bench  bench                    [.] SkScanClipper::SkScanClipper(SkBlitter*, SkRegion const*, SkIRect const&, bool)                                                                                                                                                                      
     0.04%    bench  bench                    [.] SkRegion::setRect(SkIRect const&)                                                                                                                                                                                                                    
     0.04%    bench  bench                    [.] GrGLVertexBuffer::isLocked() const                                                                                                                                                                                                                   
     0.04%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessX>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessX)                                                                                                                                  
     0.04%    bench  bench                    [.] GrDrawTarget::reserveVertexAndIndexSpace(int, int, void**, void**)                                                                                                                                                                                   
     0.04%    bench  bench                    [.] GrInOrderDrawBuffer::onReserveVertexSpace(unsigned long, int, void**)                                                                                                                                                                                
     0.04%    bench  bench                    [.] SkRegion::setRuns(int*, int)                                                                                                                                                                                                                         
     0.04%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessY>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessY)                                                                                                                                  
     0.04%    bench  bench                    [.] (anonymous namespace)::adjust_pixel_ops_params(int, int, unsigned long, int*, int*, int*, int*, void const**, unsigned long*)                                                                                                                        
     0.04%    bench  bench                    [.] void SkTIntroSort<SkEdge*, SkTPointerCompareLT<SkEdge> >(int, SkEdge**, SkEdge**, SkTPointerCompareLT<SkEdge>)                                                                                                                                       
     0.04%    bench  libpthread-2.15.so       [.] pthread_once                                                                                                                                                                                                                                         
     0.04%    bench  nouveau_dri.so           [.] util_copy_rect                                                                                                                                                                                                                                       
     0.04%    bench  bench                    [.] GrDrawTarget::setIndexSourceToBuffer(GrIndexBuffer const*)                                                                                                                                                                                           
     0.04%    bench  bench                    [.] SkMatrix::preTranslate(float, float)                                                                                                                                                                                                                 
     0.04%    bench  bench                    [.] GrGpuGL::flushScissor()                                                                                                                                                                                                                              
     0.04%    bench  libdricore.so            [.] vbo_sizeof_ib_type                                                                                                                                                                                                                                   
     0.04%    bench  bench                    [.] SkBitmap::updatePixelsFromRef() const                                                                                                                                                                                                                
     0.04%    bench  libdrm_nouveau.so.1.0.0  [.] calloc@plt                                                                                                                                                                                                                                           
     0.04%    bench  bench                    [.] SkPath::transform(SkMatrix const&, SkPath*) const                                                                                                                                                                                                    
     0.04%    bench  bench                    [.] SkPath::isOval(SkRect*) const                                                                                                                                                                                                                        
     0.04%    bench  bench                    [.] sk_membar_aquire__after_atomic_dec()                                                                                                                                                                                                                 
     0.04%    bench  bench                    [.] GrDrawState::getVertexSize() const                                                                                                                                                                                                                   
     0.04%    bench  libdricore.so            [.] _mesa_image_offset                                                                                                                                                                                                                                   
     0.04%    bench  libdricore.so            [.] _mesa_VertexAttribPointerARB                                                                                                                                                                                                                         
     0.04%    bench  bench                    [.] SkEdgeBuilder::SkEdgeBuilder()                                                                                                                                                                                                                       
     0.04%    bench  bench                    [.] GrGLProgram::setColor(GrDrawState const&, unsigned int, GrGLProgram::SharedGLState*)                                                                                                                                                                 
     0.04%    bench  bench                    [.] GrEffectRef::operator new(unsigned long)                                                                                                                                                                                                             
     0.04%    bench  bench                    [.] GrMemoryPool::release(void*)                                                                                                                                                                                                                         
     0.04%    bench  libdricore.so            [.] _mesa_image_address                                                                                                                                                                                                                                  
     0.04%    bench  bench                    [.] GrGLProgram::setData(GrGpuGL*, GrDrawState::BlendOptFlags, GrEffectStage const**, GrEffectStage const**, GrDeviceCoordTexture const*, GrGLProgram::SharedGLState*)                                                                                   
     0.04%    bench  libdricore.so            [.] _mesa_select_tex_object                                                                                                                                                                                                                              
     0.04%    bench  bench                    [.] SkRasterClip::forceGetBW()                                                                                                                                                                                                                           
     0.04%    bench  libdricore.so            [.] _mesa_bytes_per_pixel                                                                                                                                                                                                                                
     0.04%    bench  libpthread-2.15.so       [.] pthread_getspecific                                                                                                                                                                                                                                  
     0.04%    bench  bench                    [.] SkTLS::Get(void* (*)(), void (*)(void*))                                                                                                                                                                                                             
     0.04%    bench  bench                    [.] realloc@plt                                                                                                                                                                                                                                          
     0.04%    bench  bench                    [.] SkMatrix::mapRect(SkRect*, SkRect const&) const                                                                                                                                                                                                      
     0.04%    bench  bench                    [.] SkAAClip::SkAAClip()                                                                                                                                                                                                                                 
     0.04%    bench  bench                    [.] SkClipStack::getConservativeBounds(int, int, int, int, SkRect*, bool*) const                                                                                                                                                                         
     0.04%    bench  libgallium.so            [.] cso_construct_key                                                                                                                                                                                                                                    
     0.04%    bench  bench                    [.] SkRegion::SkRegion()                                                                                                                                                                                                                                 
     0.04%    bench  nouveau_dri.so           [.] nv50_m2mf_rect_setup                                                                                                                                                                                                                                 
