# ========
# captured on: Mon Jul 15 17:53:51 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match rrects_1_stroke_4 --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 158, 159, 160, 161, 162, 163, 164, 165 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1706269220
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
     0.10%    bench  bench                    [.] GrTAllocator<GrDrawState::DeferredState>::reset()                                                                                                                                                                                                    
     0.10%    bench  bench                    [.] _ZN9SkPathRef6EditorC2EP12SkAutoTUnrefIS_Eii.constprop.59                                                                                                                                                                                            
     0.10%    bench  bench                    [.] SkScan::AntiFillPath(SkPath const&, SkRegion const&, SkBlitter*, bool)                                                                                                                                                                               
     0.10%    bench  bench                    [.] GrGLProgram::setData(GrGpuGL*, GrDrawState::BlendOptFlags, GrEffectStage const**, GrEffectStage const**, GrDeviceCoordTexture const*, GrGLProgram::SharedGLState*)                                                                                   
     0.10%    bench  libglsl.so               [.] ir_variable_refcount_visitor::get_variable_entry(ir_variable*)                                                                                                                                                                                       
     0.10%    bench  libdricore.so            [.] _mesa_update_tnl_spaces                                                                                                                                                                                                                              
     0.10%    bench  libfontconfig.so.1.4.4   [.] 0x000000000001d0b8                                                                                                                                                                                                                                   
     0.10%    bench  libc-2.15.so             [.] realloc                                                                                                                                                                                                                                              
     0.10%    bench  libc-2.15.so             [.] ioctl                                                                                                                                                                                                                                                
     0.10%    bench  libX11.so.6.3.0          [.] _XVIDtoVisual                                                                                                                                                                                                                                        
     0.10%    bench  bench                    [.] sk_atomic_dec(int*)                                                                                                                                                                                                                                  
     0.10%    bench  bench                    [.] GrGLProgram::setEffectData(GrGpuGL*, GrEffectStage const&, GrGLProgram::EffectAndSamplers const&)                                                                                                                                                    
     0.10%    bench  libgallium.so            [.] st_finalize_texture                                                                                                                                                                                                                                  
     0.10%    bench  bench                    [.] SkPath::~SkPath()                                                                                                                                                                                                                                    
     0.10%    bench  bench                    [.] GrDrawState::operator=(GrDrawState const&)                                                                                                                                                                                                           
     0.10%    bench  libdricore.so            [.] hash_table_find                                                                                                                                                                                                                                      
     0.10%    bench  bench                    [.] GrGLEffect::GenTextureKey(GrDrawEffect const&, GrGLCaps const&)                                                                                                                                                                                      
     0.10%    bench  nouveau_dri.so           [.] nv50_vertprog_validate                                                                                                                                                                                                                               
     0.10%    bench  bench                    [.] GrDrawState::getBlendOpts(bool, GrBlendCoeff*, GrBlendCoeff*) const                                                                                                                                                                                  
     0.09%    bench  libc-2.15.so             [.] malloc                                                                                                                                                                                                                                               
     0.05%    bench  libc-2.15.so             [.] __vsnprintf_chk                                                                                                                                                                                                                                      
     0.05%    bench  bench                    [.] GrGpu::writeTexturePixels(GrTexture*, int, int, int, int, GrPixelConfig, void const*, unsigned long)                                                                                                                                                 
     0.05%    bench  bench                    [.] SkRefCnt::internal_dispose() const                                                                                                                                                                                                                   
     0.05%    bench  bench                    [.] SkCanvas::updateDeviceCMCache()                                                                                                                                                                                                                      
     0.05%    bench  libdricore.so            [.] vbo_exec_BeginVertices                                                                                                                                                                                                                               
     0.05%    bench  bench                    [.] GrGpuGL::configToGLFormats(GrPixelConfig, bool, unsigned int*, unsigned int*, unsigned int*)                                                                                                                                                         
     0.05%    bench  libdricore.so            [.] _vbo_InvalidateState                                                                                                                                                                                                                                 
     0.05%    bench  libglsl.so               [.] s_pattern::match(s_expression*)                                                                                                                                                                                                                      
     0.05%    bench  bench                    [.] SkPath::transform(SkMatrix const&, SkPath*) const                                                                                                                                                                                                    
     0.05%    bench  bench                    [.] GrClipMaskManager::setGpuStencil()                                                                                                                                                                                                                   
     0.05%    bench  bench                    [.] operate_on_span(int const*, int const*, int*, int, int)                                                                                                                                                                                              
     0.05%    bench  bench                    [.] SkChunkAlloc::SkChunkAlloc(unsigned long)                                                                                                                                                                                                            
     0.05%    bench  libglsl.so               [.] ir_copy_propagation_visitor::add_copy(ir_assignment*)                                                                                                                                                                                                
     0.05%    bench  bench                    [.] GrDrawState::getVertexSize() const                                                                                                                                                                                                                   
     0.05%    bench  bench                    [.] GrTexture::internal_dispose() const                                                                                                                                                                                                                  
     0.05%    bench  nouveau_dri.so           [.] nv50_screen_make_buffers_resident                                                                                                                                                                                                                    
     0.05%    bench  libGL.so.1.2             [.] glTexSubImage2DEXT                                                                                                                                                                                                                                   
     0.05%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessX>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessX)                                                                                                                                  
     0.05%    bench  nouveau_dri.so           [.] util_format_description                                                                                                                                                                                                                              
